compound_stem,SMILES,G1,G2,G3,G4,G5,G6,G7,G8,G9,G10,G11,G12,G13
A00449636,CC1CC(C)CN(C1)C1CCN(Cc2cccnc2)CC1,0,0,0,0,0,0,0,0,0,0,0,0,0
A00481216,Cc1nnn2CC(CNCc3cc(C)cc(C)c3)COCc12,0,0,0,0,0,0,0,0,0,0,0,0,0
A00487417,CC(C)NC(=O)CC1CC2(CCN(Cc3cnn(C)c3)CC2)Oc2ccccc12,0,0,0,0,0,0,0,0,0,0,0,0,0
A00517390,CN1CC2(C)CN(CC(C)(C1)C2O)C(c1ccccc1)c1ccccc1,0,0,0,0,0,0,0,0,0,0,0,0,0
A00525143,Fc1ccccc1N1CCN(CC1)C1CCCN(C1)C(=O)Cn1cccn1,0,0,0,0,0,0,0,0,0,0,0,0,0
A00527063,CC(NC(=O)c1cccs1)C(N1CCN(Cc2ccccc2)CC1)c1cccs1,0,0,0,0,0,0,0,0,0,0,0,0,0
A00534683,COC1COC2(C1)CCN(CC2)S(=O)(=O)C1CC1,0,0,0,0,0,0,0,0,0,0,0,0,0
A00556604,CCS(=O)(=O)N1CCC2(C1)CN(C(=O)CN2C)c1cccnc1,0,0,0,1,0,0,1,0,0,0,1,0,1
A00571590,CC(C)C(CC(=O)NCc1ccco1)c1ccco1,0,0,0,0,0,0,0,0,0,0,0,0,0
A00574995,CC1N(CC=C)C(=O)COC11CCN(Cc2nccs2)CC1,0,0,0,0,0,0,0,0,0,0,1,0,0
A00578795,CC(C(O)=O)c1ccc2Sc3ccccc3C(=O)Cc2c1,0,0,0,0,0,0,0,0,0,0,0,0,0
A00603176,CCn1ncc(C2=NOC(C2)C(=O)N2CCC(CC2)C(N)=O)c1C,0,0,0,0,0,0,0,0,0,0,0,0,0
A00614056,CC1CCc2sc(cc2C1)C(=O)NCc1ccccn1,0,0,0,0,0,0,0,0,0,0,0,0,0
A00622906,Clc1ccc(cc1)\C=N\NC(=O)C1CC11CCC1,0,0,0,0,0,0,0,0,0,0,0,0,0
A00647355,CC1CCCCN1S(=O)(=O)c1ccc2N(CCc2c1)C(=O)C1CC1,0,0,0,0,0,0,0,0,0,0,0,0,0
A00676226,Cn1nnc2CN(CC(COCC3CC3)c12)C(=O)CS(C)(=O)=O,0,0,0,0,0,0,0,0,0,0,0,0,0
A00690675,CCN(CC)C(=O)C(C)OC(=O)COc1ccc(Cl)cc1C,0,0,0,0,0,0,0,0,0,0,0,0,0
A00695217,COC1CCCN(C1)C(=O)c1cccc(OC2CCN(CC2)S(C)(=O)=O)c1,0,0,0,0,0,0,0,0,0,0,0,0,0
A00705279,CN(C)CCOCC1CN(Cc2cccc(C)n2)Cc2ccnn2C1,0,0,0,0,0,0,0,0,0,0,0,0,0
A00707849,COC(=O)C1=C(C)N=C2SC(C)C(=O)N2C1\C=C\c1ccccc1,0,0,0,0,0,0,0,0,0,0,0,0,0
A00713990,CS(=O)(=O)N1CCCC11CCCN(C1)C(=O)c1ccno1,0,0,0,0,0,0,1,0,0,0,0,0,0
A00731808,Cc1cc(C(=O)CN2C(=O)NC(C)(C2=O)c2ccccc2)c(C)n1CC1CCCO1,0,0,0,0,0,0,0,0,0,0,0,0,0
A00736675,O=C(Nc1ccc2OCCOc2c1)C1CCCN(C1)S(=O)(=O)c1c[nH]cn1,0,0,0,0,0,0,0,0,0,0,0,0,0
A00749257,CN(C)C1COC2(C1)CCN(CC2)S(=O)(=O)C1CC1,0,0,0,0,0,0,0,0,0,0,0,0,0
A00760609,Cc1ccc(cc1)N1C(=O)C2CCC(C)(C1=O)C2(C)C,0,0,0,0,0,0,0,0,0,0,0,0,0
A00769187,Clc1ccc(NC2N(Cc3ccccc3)C(=O)c3ccccc23)nc1,0,0,0,0,0,0,0,0,0,0,0,0,0
A00780535,C[C@@H]1CN(CC[C@@]11CCC(O1)C(=O)NCC1CC1)C(=O)Nc1ccccc1,1,0,0,1,1,1,1,0,0,1,1,0,1
A00823098,CC1CC(N(C(=O)c2ccco2)c2ccccc2)c2ccccc2N1C(=O)c1ccco1,0,0,0,0,0,0,0,0,0,0,0,0,0
A00835769,O=C(NCCc1ccccc1)C1CN(C(=O)C1)c1ccc2OCCOc2c1,0,0,0,0,0,0,0,0,0,0,0,0,0
A00848070,CN1C(Cn2cccn2)CC2CN(CCC12)C(=O)c1ccccc1,1,1,1,1,1,1,1,1,1,1,1,1,1
A00859646,CC1CCCCN1C(=O)Cn1c2ccc(cc2oc1=O)S(=O)(=O)N1CCCC1,0,0,0,0,0,0,0,0,0,0,0,0,0
A00867772,Cn1ccnc1CN1CCCC2(CC(CO2)Nc2cccc(F)c2)C1,0,0,0,0,0,0,0,0,0,0,0,0,0
A00868696,CC1CN(CC(C)O1)S(=O)(=O)Cc1ccccc1,0,0,0,0,0,0,0,0,0,0,0,0,0
A00881159,Cc1nc(cs1)C(=O)N1CCc2c([nH]c3ccccc23)C1c1cc(F)ccc1F,0,0,0,0,0,0,0,0,0,0,0,0,0
A00893579,Fc1cccc(CN2CC3CN(CC3C2)C(=O)c2cccs2)c1,0,0,0,0,0,0,0,0,0,0,0,0,0
A00918509,CNC(=O)CC1CC2(CCN(CC2)C(=O)COc2ccccc2)Oc2ccccc12,0,0,0,0,0,0,0,0,0,0,0,0,0
A00936450,FC(F)(F)C1CCCN(C1)C(=O)CNC(=O)c1ccc2ccccc2c1,0,0,0,0,0,0,0,0,0,0,0,0,0
A00942969,OC(=O)C1CCC(=O)N(C2CC2)C1c1ccccc1,0,0,0,0,0,0,0,0,0,0,0,0,0
A00967121,OC(CNCc1ccc(F)cc1)COc1ccc(cc1)C(=O)c1ccccc1,0,0,0,0,0,0,0,0,0,0,0,0,1
A00972910,Fc1ccc(CN2CCCC3(CCN(C3)C(=O)c3ccoc3)C2)cc1F,0,0,0,0,0,0,0,0,0,0,0,0,0
A00986521,CC(C)(C)CC(=O)N1CCC2(CC1)CC(CC(=O)Nc1cccnc1)c1ccccc1O2,0,0,0,0,0,0,0,0,0,0,1,0,0
A00998833,CN(Cc1c(nc2ccc(Cl)cn12)C(=O)N1CCCCCCC1)C1CCOC1,0,0,0,0,0,0,0,0,0,0,0,0,0
A01015400,CC(C)NC(=O)N1CCC(C1)c1nnc2ccc(cn12)C(=O)NCCc1ccncc1,0,0,0,0,0,0,0,0,0,0,0,0,0
A01020820,OC(C(=O)N\N=C\c1ccco1)c1ccccc1,0,0,0,0,0,0,0,0,0,0,0,0,0
A01044225,CCN1C(=O)C(CC11CCN(CC1)c1ncccn1)c1ccccc1,0,0,0,0,0,0,0,0,0,0,0,0,0
A01049363,CC1(CCS(=O)(=O)C1)NC(=O)c1cccc(c1)S(=O)(=O)N1CCCc2ccccc12,0,0,0,0,0,0,0,0,0,0,0,0,0
A01061495,Nc1nc(=O)c2ncn(C3C[C@H](O)[C@@H](CO)C3=C)c2[nH]1,0,0,0,0,0,0,0,0,0,0,0,0,0
A01068611,CN(C1CCS(=O)(=O)C1)C(=O)COC(=O)c1nc(Cl)ccc1Cl,0,0,0,0,0,0,0,0,0,0,0,0,0
A01090193,CCn1cc2CN(CC3CCOCC3)CC(COC)c2n1,0,0,0,0,0,0,0,0,0,0,0,0,0
A01098288,CC(C)OC(=O)C1=C(C)NC(N)=C(C1c1cccc(c1)[N+]([O-])=O)C(=O)OC1CN(C1)C(c1ccccc1)c1ccccc1,0,0,0,0,0,0,0,0,0,0,0,0,0
A01099624,O=C(Nc1ccccc1)C1CC(=O)N=C(N1)N1CCCCC1,0,0,0,0,0,0,0,0,0,0,0,0,0
A01127541,CC1=C(CCN2CCN(C3CCCC3)C(CCO)C2)C(C)(C)CCC1,0,0,0,0,0,0,0,0,0,0,0,0,0
A01133581,Fc1ccc(cc1)N1CC(CC1=O)C(=O)NCc1ccc2OCOc2c1,0,0,0,0,0,0,0,0,0,0,0,0,0
A01138228,OC(=O)C1CCCCC1C(=O)Nc1nc(cs1)-c1cccs1,0,0,0,0,0,0,0,0,0,0,0,0,0
A01144076,CC1CCCN(C1)S(=O)(=O)c1ccc(CN2C(=O)c3cccnc3C2=O)cc1,0,0,0,0,0,0,0,0,0,0,0,0,0
A01145011,OC[C@H]1O[C@H](C(O)[C@H]1O)n1cccnc1=O,0,0,0,0,0,0,0,0,0,0,0,0,0
A01158342,Fc1cccc(CN2CC3CN(Cc4cccs4)CC3C2)c1,0,0,0,0,0,0,0,0,0,0,0,0,0
A01171495,OC(=O)CN1CC2CCC(C1)N2C(=O)c1ccco1,0,0,0,0,0,0,0,0,0,0,0,0,0
A01171587,Cc1ccc(cc1)S(=O)(=O)CC(N1CCCCC1)c1ccccc1,0,0,0,0,0,0,0,0,0,0,0,0,0
A01174717,CC(C)CCN1CCNC(=O)C1CC(=O)N(C)CCCN1CCOCC1,0,0,0,0,0,0,0,0,0,0,0,0,0
A01190969,COc1cccc(c1)N1CC(CC1=O)C(=O)Oc1ccc2ccccc2c1,0,0,0,0,0,0,0,0,0,0,0,0,0
A01196956,CC(C)n1cnc2CCN(C(C(=O)Cc3ccncc3)c12)C(=O)c1cccnc1,0,0,0,0,0,0,0,0,0,0,0,0,0
A01212670,COc1cccc(c1)C(=O)CC(C(O)=O)c1ccc(F)cc1,0,0,0,0,0,0,0,0,0,0,0,0,0
A01221889,COc1cccc(c1)-n1nc(C(=O)N2CC(C)CC(C)C2)c2ccccc2c1=O,0,0,0,0,0,0,0,0,0,0,0,0,0
A01254391,COc1cccc(c1)C(C)N(C)Cc1nc(COc2ccccc2)no1,0,0,0,0,0,0,0,0,0,0,0,0,0
A01258864,[O-][N+](=O)c1ccc(N2CCOCC2)c(c1)C(=O)NC1CCSc2ccccc12,0,0,0,0,0,0,0,0,0,0,0,0,0
A01265588,COc1ccc(NC(=O)c2cccc(c2)N2C(=O)NC3CC2(C)Oc2ccccc32)cc1,0,0,0,0,0,0,0,0,0,0,0,0,0
A01286505,Cn1nc(cc1NC(=O)CC(CC(O)=O)c1ccccc1)C1CC1,0,0,0,0,0,0,0,0,0,0,0,0,0
A01292534,COc1ccc(cc1)C1N(Cc2ccco2)C(=O)CN(C2CCCCC2)C1=O,0,0,0,0,0,0,0,0,0,0,0,0,0
A01293614,C(C1CN(Cc2ccccn2)Cc2nccn2C1)N1CCCC1,0,0,0,0,0,0,0,0,0,0,1,0,0
A01314379,O=C(CC1N(Cc2ccc(cc2)-c2ccccc2)CCNC1=O)NC1CCC1,0,0,0,0,0,0,0,0,0,0,0,0,0
A01315431,O=C1NC(Nc2ccccc12)c1ccncc1,0,0,0,0,0,0,0,0,0,0,0,0,0
A01321643,CC(C)N1CCN(CC#N)C2(CCN(C2)C(=O)c2cc(C)n[nH]2)C1=O,0,0,0,0,0,0,0,0,0,0,0,0,0
A01334285,CN(C(=O)c1cccs1)C1(C)CCS(=O)(=O)C1,0,0,0,0,0,0,0,0,0,0,0,0,0
A01334461,Cc1onc(c1C(O)c1ccc(F)cc1)-c1ccccc1,0,0,0,0,0,0,0,0,0,0,0,0,0
A01335741,NC(=O)C(c1ccc(Cl)cc1)c1ccc(Sc2ccccc2)nn1,0,0,0,0,0,0,0,0,0,0,0,0,0
A01338524,O=C(C1CCCN(C1)C(=O)c1ccc(cc1)N1CCOCC1)c1cccc2ccccc12,0,0,0,0,0,0,0,0,0,0,0,0,0
A01364255,Cc1nc(CN2CCC3(CC(OCCO)c4ccccc34)CC2)cs1,0,0,0,0,0,0,0,0,0,0,0,0,0
